current,pow,throttle,volt,speed,fwd,rev,tic,timestamp
406,669,317,326,26,100,0,100,1567567119.05
422,669,316,326,26,100,0,100,1567567119.15
427,669,321,327,28,100,0,106,1567567119.26
419,670,318,328,27,100,0,100,1567567119.55
410,669,322,326,27,100,0,100,1567567119.65
414,669,322,326,26,100,0,100,1567567119.85
433,669,315,328,27,100,0,101,1567567119.95
424,669,325,327,27,100,0,99,1567567120.05
435,669,317,329,26,100,0,100,1567567120.15
441,668,318,325,27,100,0,101,1567567120.25
442,669,319,327,27,100,0,100,1567567120.35
428,669,324,327,27,100,0,99,1567567120.45
419,669,314,326,27,100,0,101,1567567120.55
416,669,315,326,27,100,0,100,1567567120.65
443,669,328,327,27,100,0,100,1567567120.75
402,670,313,328,27,100,0,99,1567567120.95
407,669,313,328,27,100,0,100,1567567121.05
418,669,293,328,28,100,0,100,1567567121.25
423,669,322,327,27,100,0,101,1567567121.45
402,670,281,329,27,100,0,100,1567567121.65
411,670,296,329,28,100,0,101,1567567122.05
407,669,297,328,28,100,0,99,1567567122.45
409,670,295,328,28,100,0,100,1567567122.65
407,670,298,329,28,100,0,99,1567567122.75
389,670,296,328,29,100,0,101,1567567122.85
423,669,297,327,27,100,0,100,1567567122.95
421,669,299,328,28,100,0,99,1567567123.05
401,670,275,328,28,100,0,100,1567567123.15
395,669,292,328,28,100,0,101,1567567123.25
419,670,289,328,28,100,0,100,1567567123.35
398,670,279,329,28,100,0,99,1567567123.45
414,670,289,330,28,100,0,100,1567567123.55
385,670,279,329,28,100,0,100,1567567123.65
393,669,286,325,27,100,0,101,1567567123.75
399,670,278,327,28,100,0,100,1567567123.85
422,669,277,327,28,100,0,99,1567567123.95
433,669,291,327,28,100,0,99,1567567124.15
391,670,276,327,28,100,0,100,1567567124.25
414,670,282,330,28,100,0,101,1567567124.35
385,670,278,328,28,100,0,100,1567567124.55
405,670,283,327,28,100,0,99,1567567124.75
403,670,284,328,27,100,0,100,1567567124.85
414,669,287,328,28,100,0,99,1567567125.05
395,670,278,328,28,100,0,100,1567567125.15
399,670,289,329,28,100,0,101,1567567125.25
400,670,277,328,28,100,0,100,1567567125.35
